# Player ages, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,age
Maxim Tsyplakov,27
Adam Gaudette,29
Adam Edstrom,25
Elmer Soderblom,25
Andrew Mangiapane,30
Braeden Bowman,23
Max Shabanov,25
Brad Lambert,22
Colin Blackwell,33
Liam O'Brien,32
Otto Stenberg,21
Stefan Noesen,33
Ozzy Wiesblatt,24
Miles Wood,30
Oliver Moore,21
Mark Jankowski,31
Zack Ostapchuk,23
Corey Perry,41
Jeffrey Viel,29
Jonathan Drouin,31
Jesper Boqvist,27
Taylor Raddysh,28
Tim Washe,25
Nico Sturm,31
Daniil But,21
Jonathan Lekkerimaki,22
Isak Rosen,23
Jeff Malott,30
Max Sasson,25
Nikita Grebenkin,23
Alex Turcotte,25
Fedor Svechkov,23
Alex Holtz,24
Josh Samanski,24
Hendrix Lapierre,24
Lars Eller,37
Matt Rempe,24
Jonatan Berggren,26
Lenni Hameenaho,21
Jaroslav Chmelar,23
Isac Lundestrom,26
Andre Burakovsky,31
Filip Hallander,26
Anthony Duclair,31
Logan O'Connor,30
Ben Meyers,27
Jacob Quillan,24
Landon Slaggert,24
Isaac Howard,22
Jonah Gadjovich,18
Ryan Winterton,22
Oskar Back,26
Justin Kirkland,30
Jonas Rondbjerg,27
