#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
105,Ryan Nugent-Hopkins,Oilers,"C,LW",201.1,515.4,80,59,20.9,37.6,6.2,30,12,17,3,9,20,28.4,145,19,232.1,39.9,42.1,—,—,—,—,—,—,—,—,—,—
106,MacKenzie Weegar,Utah,D,110.3,515.1,83,39,8.7,30.7,1.9,55,8,22,1,1,7,8.4,154.6,22.4,0,180.4,181.1,—,—,—,—,—,—,—,—,—,—
107,Mikael Granlund,Ducks,"C,LW",—,514.8,76,61,22.3,38.9,1.9,31,15,26,3,7,13,20.2,140.3,19.8,442.2,54.9,57.2,—,—,—,—,—,—,—,—,—,—
108,Josh Morrissey,Jets,D,86.6,511.4,79,57,11.9,44.9,'-6.9,37,9,28,2,3,17,19.8,139.5,23,0,109,90.2,—,—,—,—,—,—,—,—,—,—
109,Noah Dobson,Canadiens,D,96.3,508.1,79,44,10.3,33.6,3.7,39,9,28,2,1,5,7.2,149.4,21.4,0,155.6,63.5,—,—,—,—,—,—,—,—,—,—
110,Alexis Lafreniere,Rangers,"LW,RW",145.0,507.2,83,61,27.2,34,'-5.2,32,20,27,4,7,7,14.1,169.2,18.7,19.1,37.9,104.3,—,—,—,—,—,—,—,—,—,—
111,Rasmus Andersson,Knights,D,111.8,506.3,82,37,11.6,25.7,8.3,58,9,20,2,2,5,7.1,151.3,22.9,0,166.9,42,—,—,—,—,—,—,—,—,—,—
112,William Eklund,Senators,"LW,RW",195.5,501.6,80,60,21.9,38,0.4,33,18,29,3,4,9,13,152,19,12.9,54.6,68.6,—,—,—,—,—,—,—,—,—,—
113,Shayne Gostisbehere,Hurricanes,D,97.2,500.8,73,53,12.2,41.1,8.8,35,8,23,2,5,18,22.9,127.3,18.9,0,85.2,42.1,—,—,—,—,—,—,—,—,—,—
114,Owen Tippett,Flyers,"LW,RW",—,498.8,80,49,25.3,23.9,'-0.2,27,22,20,4,3,4,6.5,205.4,16.7,9.9,53.9,144,—,—,—,—,—,—,—,—,—,—
115,Vitali Pinchuk,Predators,C,—,495.7,73,48,24,24,'-4,17,21,21,4,3,3,6,223,12,0,51,46,—,—,—,—,—,—,—,—,—,—
116,Evgeni Malkin,Penguins,"C,LW,RW",159.6,495.0,74,61,20.2,40.5,'-1.6,54,15,26,3,5,14,19.2,156.4,17.9,258.1,35.8,40.4,—,—,—,—,—,—,—,—,—,—
117,Brad Marchand,Panthers,"LW,RW",172.7,494.4,76,56,22.7,33.5,7.4,57,18,25,4,4,8,17.9,162.2,16.2,15.2,27.6,82.8,—,—,—,—,—,—,—,—,—,—
118,Seth Jarvis,Hurricanes,"LW,RW",145.4,494.1,58,55,25.8,29.1,6.5,18,20,19,4,6,10,16.6,156,19.5,58.3,36.3,75.6,—,—,—,—,—,—,—,—,—,—
119,Jimmy Snuggerud,Blues,RW,191.6,493.9,79,61,21.2,39.8,'-5.6,28,14,35,3,8,5,12.2,163,17.7,0.7,47.6,78.8,—,—,—,—,—,—,—,—,—,—
120,Logan Stankoven,Hurricanes,"C,RW",185.4,490.7,82,53,24.9,27.6,9.9,25,22,23,3,3,5,7.6,182,16.8,313,32.1,65.9,—,—,—,—,—,—,—,—,—,—
121,Kyle Palmieri,Islanders,RW,—,489.5,74,54,24.1,30,'-2.7,26,15,20,4,8,10,18.1,175.3,18.8,30.3,36.3,66,—,—,—,—,—,—,—,—,—,—
